,sample_id,genomics,event_id,collecting method,plant_interaction,stage,sex,collection,location,notes_specimen,Quantity,higher_taxon,taxon_level,species,subspecies,det_insect,det_day_insect,det_month_insect,det_year_insect,preservation,vial_size,genomics_id,make_label,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,plant_id,notes_event,pop_id_thesis,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det_host_plant,det_day_host_plant,det_month_host_plant,det_year_host_plant,notes
196,14059Z06X005,BdM1385,14059,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Andranthobius,genus,sp_1,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1385,,6.0,11.0,2014.0,,,,36,-13.34159053,-39.19552686,195.7526855,Valença,BA,Brazil,Mata à beira da estrada de Valença para a BR-101,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 197,,P12,,MCZ,mata úmida,,,,,,open male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,
197,14018Z07X005,BdM1386,14018,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Microstrates,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1386,,2.0,11.0,2014.0,,,,14,-17.12177404,-39.38168105,121.0107422,Prado,BA,Brazil,"PARNA do Descobrimento, estrada principal",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 158,,P10,,MCZ,mata,,,,,,"open male flowers, fruits",Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,
198,14145Z01X004,BdM1390,14145,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Remertus,genus,sp_1,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1390,,13.0,11.0,2014.0,,,,84,-12.45441754,-40.54898361,418.0559082,Itaberaba,BA,Brazil,"estrada de fazenda Canabrava, saindo da BA-130",B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 282,,P5,,,caatinga,arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
199,14132Z01X003,BdM1394,14132,bagging flowers,in open male flowers (partially enclosed by spathe),adult,,MZSP,MCZ,,1,Remertus,genus,sp_1,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1394,,12.0,11.0,2014.0,,,,74,-11.62958303,-41.15293812,1070.785889,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 269,,P6,,MCZ,Em meio a plantação de café,,,,,,"open male flowers (partially enclosed by spathe), fruits",Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
200,14059Z06X006,BdM1397,14059,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Andranthobius,genus,sp_1,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1397,,6.0,11.0,2014.0,,,,36,-13.34159053,-39.19552686,195.7526855,Valença,BA,Brazil,Mata à beira da estrada de Valença para a BR-101,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 197,,P12,,MCZ,mata úmida,,,,,,open male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,
201,14103Z05X003,BdM1400,14103,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Dialomia,genus,sp_1,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1400,,10.0,11.0,2014.0,,,,66,-8.931129389,-36.49731469,753.0727539,Garanhuns,PE,Brazil,À beira da rodovia BR-424,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 239,,P17_cor,,MCZ,em pasto próximo a fragemento de mata estacional,arenoso,,,,,open male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
202,14041Z06X004,BdM1403,14041,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Remertus,genus,sp_2,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1403,,4.0,11.0,2014.0,,,,26,-15.30463628,-39.13030928,96.01672363,Una,BA,Brazil,À beira de estrada vicinal,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 57,,P3,,MCZ,"Sobre solo arenoso, em mata úmida secundária",,,,,,male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2013.0,collected from same individual in 2013 and 2014
203,14123Z02X003,BdM1405,14123,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Microstrates,genus,ypsilon,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1405,,11.0,11.0,2014.0,,,,71,-10.53520454,-39.37915164,395.9456787,Monte Santo,BA,Brazil,,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 260,,P20,,,Mata estacional convertida em plantios,arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
204,14092Z02X005,BdM1407,14092,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Andranthobius,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1407,,9.0,11.0,2014.0,,,,59,-9.591419259,-36.44237174,287.0772705,Taquarana,AL,Brazil,,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 228,,P15,,MCZ,em pasto,arenoso,,,,,open male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
205,14069Z06X002,BdM1410,14069,bagging flowers,in open male flowers,adult,,MZSP,MCZ,,1,Andranthobius,genus,bondari,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1410,,6.0,11.0,2014.0,,,,41,-12.13036269,-38.48599222,160.9051514,Alagoinhas,BA,Brazil,Ao longo da ferrovia,B. A. S. Medeiros,Z. Wang,B. A. S. Medeiros 207,,P13,,,caatinga,,,,,,"open male flowers, recently fertilizaed female flowers",Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,
