,genomics,plant_id,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det,det_day,det_month,det_year,notes_specimen,event_id,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,notes_event,pop_id_thesis
10,BdM1656,B. A. S. Medeiros 239,,MCZ,em pasto próximo a fragemento de mata estacional,arenoso,,,,,open male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14103,10.0,11.0,2014.0,,,,66,-8.931129389,-36.49731469,753.0727539,Garanhuns,PE,Brazil,À beira da rodovia BR-424,B. A. S. Medeiros,Z. Wang,,P17_cor
11,BdM1658,B. A. S. Medeiros 275,,MCZ,caatinga,arenoso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14138,13.0,11.0,2014.0,,,,between 083 and 084,-12.4544,-40.548,418.0,Itaberaba,BA,Brazil,"estrada de fazenda Canabrava, saindo da BA-130",B. A. S. Medeiros,Z. Wang,,P5
12,BdM1662,B. A. S. Medeiros 117,,MCZ,"Em pasto, próximo a caatinga",,Folhas verde-acinzentadas,,flores amarelas,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,,13084,6.0,12.0,2013.0,,,,185,-15.3911301401,-42.8012361936,828.776123047,Mato Verde,MG,Brazil,,B. A. S. Medeiros,F. M. Gudin,,P9
13,BdM1669,B. A. S. Medeiros 233,,MCZ,em pasto próximo a fragemento de mata estacional,arenoso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14097,10.0,11.0,2014.0,,,,65,-8.97650281,-36.51698769,790.5639648,Brejão,PE,Brazil,"À beira da rodovia BR-424, próximo a Garanhuns",B. A. S. Medeiros,Z. Wang,,P17_hyb
14,BdM1670,B. A. S. Medeiros 287,,MCZ,transição caatinga-campo gerais,argiloso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14152,13.0,11.0,2014.0,,,,89,-14.00607982,-42.25784604,669.4387207,Lagoa Real,BA,Brazil,,B. A. S. Medeiros,Z. Wang,,P7
15,BdM1671,B. A. S. Medeiros 55,,MCZ,"Sobre solo arenoso, em caatinga.",arenoso,,,,,fruits,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,,13023,11.0,11.0,2013.0,,,,061,-16.1507317331,-40.2148552984,163.068115234,Jacinto,MG,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,"Havia Anchylorhynchus nas F, não guardado. Não havia larvas nos Fr",P2
16,BdM1672,B. A. S. Medeiros 380,,MCZ,em pasto,arenoso-rochoso,,amarela por for a,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14083,9.0,11.0,2014.0,,,,56,-9.760979041,-36.50717047,189.9848633,Limoeiro de Anadia,AL,Brazil,À beira da rodovia AL-220,B. A. S. Medeiros,Z. Wang,,P15
17,BdM1687,B. A. S. Medeiros 48,,MCZ,Sobre solo arenoso. Em mata de tabuleiro.,arenoso,Folhas verdes,espata marrom-esverdeada externamente e branca internamente,"Raque verde, ráquilas verdes  base a amarelas no ápice, flores amarelo-creme",,late male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2013.0,,13016,8.0,11.0,2013.0,,,,052,-18.3701705933,-40.1442575455,,Pinheiros,ES,Brazil,REBIO Córrego do Veado,B. A. S. Medeiros,L. H. M. Fonseca,flores M fechadas por predação?,P1
18,BdM1688,B. A. S. Medeiros 77,SPF,MCZ,Em cultivo em sítio,,,,,,open female flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,,13044A,17.0,11.0,2013.0,,,,091,-13.9696447738,-42.2817021143,886.695068359,Lagoa Real,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,,P7
19,BdM1689,B. A. S. Medeiros 78,,MCZ,Em cultivo em sítio,,,,,,late male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,,13045,17.0,11.0,2013.0,,,,092,-13.9695102442,-42.2819960676,896.788818359,Lagoa Real,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,,P7
